Open;Close;High;Low;Volume;Date
22,815;22,815;22,815;22,815;;16/01/2022
22,925;23,22;23,22;22,835;;17/01/2022
23,00425;23,47;23,625;22,803;;18/01/2022
23,46375;24,18;24,205;23,3875;;19/01/2022
24,14625;24,47325;24,68725;24,07775;;20/01/2022
24,47875;24,305;24,5595;24,17675;;21/01/2022
24,305;24,305;24,305;24,305;;22/01/2022
24,305;24,305;24,305;24,305;;23/01/2022
24,21075;24,985;24,985;23,56575;;24/01/2022
23,9725;23,80525;23,974;23,60375;;25/01/2022
23,83675;23,54475;24,385;23,435;;26/01/2022
23,54375;22,78625;23,59075;22,5725;;27/01/2022
22,78925;22,49;22,8075;22,16;;28/01/2022
22,505;24,235;24,235;22,505;;29/01/2022
24,235;24,235;24,235;24,235;;30/01/2022
22,30825;22,46625;22,62825;22,24775;;31/01/2022
22,475;22,6425;23,04;22,40275;;1/02/2022
22,62625;22,6525;22,8575;22,47675;;2/02/2022
22,63075;22,43775;22,65075;22,03325;;3/02/2022
22,428;22,47225;22,63425;22,13;;4/02/2022
22,47175;22,47025;22,47175;22,47025;;5/02/2022
22,47025;22,47025;22,47025;22,47025;;6/02/2022
22,569;23,385;23,385;22,55;;7/02/2022
23,01375;23,18075;23,2525;22,77025;;8/02/2022
23,18;23,31375;23,345;23,09075;;9/02/2022
23,2975;23,16375;23,705;23,163;;10/02/2022
23,19;23,5675;23,675;22,86125;;11/02/2022
23,5675;23,5675;23,5675;23,5675;;13/02/2022
23,5425;23,83875;23,9275;23,5425;;14/02/2022
23,8575;23,40225;23,9775;23,1;;15/02/2022
23,38525;23,6025;24,235;23,28;;16/02/2022
23,62075;24,235;24,235;23,42025;;17/02/2022
23,81025;23,96125;24,0705;23,68275;;18/02/2022
23,96125;23,96125;23,96125;23,96125;;20/02/2022
23,8015;24,215;24,215;23,69275;;21/02/2022
24,06625;24,11275;24,34175;23,90325;;22/02/2022
24,1475;24,58;24,58;24,02575;;23/02/2022
24,55;24,2275;25,61;23,895;;24/02/2022
24,305;24,27875;24,49425;23,87325;;25/02/2022
24,27875;24,27875;24,27875;24,27875;;27/02/2022
24,6275;24,4725;24,63825;24,10675;;28/02/2022
24,45375;25,385;25,5;24,2825;;1/03/2022
25,37375;24,52825;25,3775;24,52825;;2/03/2022
25,2945;25,1975;25,46625;24,96875;;3/03/2022
25,182;25,7025;25,735;25,0525;;4/03/2022
25,7025;25,7025;25,7025;25,7025;;5/03/2022
25,7025;25,7025;25,7025;25,7025;;6/03/2022
25,98375;26,105;26,13875;25,304;;7/03/2022
25,675;26,06325;26,9175;25,3725;;8/03/2022
26,455;25,80925;26,7675;25,4075;;9/03/2022
25,72625;25,9225;26,05;25,3425;;10/03/2022
25,935;25,82025;25,985;25,43125;;11/03/2022
25,82025;25,6975;25,93625;25,57875;;13/03/2022
25,65375;25,085;25,76125;24,94125;;14/03/2022
25,08375;24,88125;25,11875;24,515;;15/03/2022
24,90875;25,0825;25,125;24,507;;16/03/2022
25,09;25,33375;25,54;25,07;;17/03/2022
25,3375;24,975;25,4425;24,84;;18/03/2022
